Date,Open,High,Low,Close,Volume
1/30/2018 15:00:00,199.27,199.49,195.57,196.39,0
1/31/2018 15:00:00,195.81,198.26,194.53,197.46,0
2/1/2018 15:00:00,198.03,198.97,197.16,197.16,0
2/2/2018 15:00:00,198.6,198.73,197.37,197.88,0
2/5/2018 15:00:00,195.55,196.93,194.28,195.56,0
2/6/2018 15:00:00,193.17,193.52,190.39,192.23,0
2/7/2018 15:00:00,193.95,195.47,193.33,193.93,0
2/8/2018 15:00:00,194.13,194.26,193.39,194.09,0
2/9/2018 15:00:00,192.37,193.07,191.19,193.07,0
2/12/2018 15:00:00,192.98,193.6,192.91,193.26,0
2/13/2018 15:00:00,193.89,195.07,193.87,194.69,0
2/14/2018 15:00:00,194.69,195.58,194.69,195.54,0
2/15/2018 13:00:00,196.15,196.59,195.84,195.93,0
2/19/2018 15:00:00,196.56,198.5,196.56,198.5,0
2/20/2018 15:00:00,198.58,198.64,196.2,196.77,0
2/21/2018 15:00:00,196.51,197.16,195.72,196.37,0
2/22/2018 15:00:00,196.44,196.6,194.92,195.07,0
2/23/2018 15:00:00,195.71,196.84,195.67,195.92,0
2/26/2018 15:00:00,195.81,196.1,194.87,194.99,0
2/27/2018 15:00:00,195.33,195.72,194.8,195.72,0
2/28/2018 15:00:00,195.68,196.28,195.05,195.73,0
3/1/2018 15:00:00,196.02,196.79,195.68,196.05,0
3/2/2018 15:00:00,195.94,195.96,194.42,194.71,0
3/5/2018 15:00:00,195.15,195.45,193.65,194.21,0
3/6/2018 15:00:00,194.76,195.15,192.57,192.57,0
3/7/2018 15:00:00,192.58,192.97,188.11,188.46,0
3/8/2018 15:00:00,189.36,189.98,187.74,189.76,0
3/9/2018 15:00:00,190.43,190.56,188.57,190.23,0
3/12/2018 15:00:00,191.12,192.58,191.04,192.58,0
3/13/2018 15:00:00,192.42,192.6,190.05,190.05,0
3/14/2018 15:00:00,189.95,190.16,188.11,188.11,0
3/15/2018 15:00:00,187.72,187.79,186,186.24,0
3/16/2018 15:00:00,186.25,186.61,184.33,184.84,0
3/19/2018 15:00:00,185.12,185.47,184.16,184.16,0
3/20/2018 15:00:00,183.5,183.61,181.52,182.38,0
3/21/2018 15:00:00,182.89,184.88,182.89,184.83,0
3/22/2018 15:00:00,185.34,186.34,183.52,183.92,0
3/23/2018 15:00:00,180.4,182.87,179.4,182.87,0
3/26/2018 15:00:00,182.29,182.94,181.74,182.65,0
3/27/2018 15:00:00,183.87,184.83,182.12,182.7,0
3/28/2018 15:00:00,182.42,182.73,180.59,181.3,0
3/29/2018 15:00:00,181.59,183.59,181.08,183.59,0
4/2/2018 15:00:00,184.39,185.1,183.34,185.02,0
4/3/2018 15:00:00,184.43,185.4,183.96,185.01,0
4/4/2018 15:00:00,185.32,185.74,182.69,183.52,0
4/5/2018 15:00:00,184.49,185.3,184.35,184.99,0
4/6/2018 15:00:00,185.09,185.27,184.51,184.67,0
4/9/2018 15:00:00,184.44,187.58,184.44,187.58,0
4/10/2018 15:00:00,187.36,189.49,186.9,189.43,0
4/11/2018 15:00:00,189.7,190.7,189.7,190.46,0
4/12/2018 15:00:00,189.98,190.43,188.2,188.6,0
4/13/2018 15:00:00,188.72,189.34,186.84,186.84,0
4/16/2018 15:00:00,187.04,188.13,186.69,187.18,0
4/17/2018 15:00:00,187.49,187.94,186.7,187.57,0
4/18/2018 15:00:00,187.85,188.33,187.22,187.68,0
4/19/2018 15:00:00,187.61,189.15,187.61,189.15,0
4/20/2018 15:00:00,188.98,189.19,188.21,188.85,0
4/23/2018 15:00:00,188.76,188.94,187.73,187.99,0
4/24/2018 15:00:00,188.07,188.09,185.72,186.03,0
4/25/2018 15:00:00,185.97,186,182.6,182.97,0
4/26/2018 15:00:00,183.56,183.69,178.07,178.75,0
4/27/2018 15:00:00,180.6,181.25,177.92,179.2,0
4/30/2018 15:00:00,179.61,181.06,179.57,180.93,0
